feature,t_statistic,p_value,effect_size
Feature_74,5.7888383861772,7.928582319533637e-09,0.2244029
Feature_4,5.78882266619501,7.929314909691475e-09,0.22440228
Feature_31,5.788784266633858,7.931104701395863e-09,0.22440083
Feature_36,5.788782000644635,7.931210330734924e-09,0.22440076
Feature_41,5.788763509051383,7.932072369564079e-09,0.22440003
Feature_13,5.788751289083099,7.932642088570926e-09,0.22439958
Feature_22,5.788748982685321,7.932749621847094e-09,0.22439949
Feature_27,5.788733991099759,7.933448622711382e-09,0.22439891
Feature_79,5.788721730724054,7.934020322144212e-09,0.22439845
Feature_17,5.7887105427223435,7.934542051917992e-09,0.22439803
Feature_59,5.7887105427223435,7.934542051917992e-09,0.22439802
Feature_84,5.788703239129378,7.934882658172987e-09,0.22439775
Feature_94,5.788693669552748,7.935328961097416e-09,0.22439736
Feature_69,5.788676492815961,7.936130105639813e-09,0.22439674
Feature_50,5.7886672268113,7.936562316389958e-09,0.22439638
Feature_99,5.78863574646489,7.938030881296756e-09,0.22439517
Feature_45,5.788614988889815,7.938999371252541e-09,0.22439435
Feature_9,5.788588970982492,7.940213455835364e-09,0.2243934
Feature_54,5.7885309670864515,7.942920766366664e-09,0.22439118
Feature_64,5.788475310021122,7.94551938371596e-09,0.22438902
Feature_89,5.788475269593868,7.945521271557024e-09,0.224389
Feature_51,5.787513462573618,7.990558726787268e-09,0.22435223
Feature_46,5.787467800118315,7.992703075226618e-09,0.2243505
Feature_60,5.787462378050721,7.992957737398366e-09,0.22435027
Feature_23,5.787459727749114,7.99308221890377e-09,0.22435017
Feature_28,5.7874588779753955,7.993122132161075e-09,0.22435012
Feature_100,5.787457036959381,7.993208604017737e-09,0.22435005
Feature_5,5.787438545340238,7.994077199164134e-09,0.22434935
Feature_10,5.787436319928278,7.9941817382249e-09,0.22434926
Feature_90,5.787435895040048,7.994201697564421e-09,0.22434923
Feature_29,5.787412487220628,7.995301366635253e-09,0.22434835
Feature_55,5.787402492859354,7.995770933627222e-09,0.22434796
Feature_70,5.787389119896548,7.99639928007049e-09,0.22434746
Feature_75,5.787384466622157,7.996617931622302e-09,0.22434726
Feature_18,5.787372206364096,7.997194053688256e-09,0.22434682
Feature_85,5.787368746777912,7.99735663048632e-09,0.22434667
Feature_20,5.78736374959787,7.99759146931564e-09,0.22434649
Feature_32,5.787362596402476,7.997645663844486e-09,0.22434643
Feature_2,5.78735187374023,7.998149593496327e-09,0.22434604
Feature_37,5.787339916893051,7.998711562186284e-09,0.22434558
Feature_25,5.78732073746643,7.999613070450307e-09,0.22434486
Feature_15,5.787315011986777,7.999882209605095e-09,0.22434463
Feature_42,5.78728314741688,8.001380236921495e-09,0.2243434
Feature_86,5.787282378620087,8.001416383212795e-09,0.22434336
Feature_14,5.787279303432918,8.001560969966406e-09,0.22434326
Feature_11,5.787268115379645,8.002087022581952e-09,0.22434282
Feature_76,5.787267771481029,8.002103192931273e-09,0.2243428
Feature_96,5.787230181442322,8.003870894050136e-09,0.22434136
Feature_56,5.787229453147755,8.003905146425892e-09,0.22434135
Feature_61,5.787211730321493,8.004738711508106e-09,0.22434065
Feature_95,5.787199854476517,8.005297320337013e-09,0.2243402
Feature_47,5.787191741607262,8.005678950388208e-09,0.2243399
Feature_65,5.787182597056704,8.006109132033394e-09,0.22433954
Feature_71,5.78718148436681,8.006161477175975e-09,0.22433951
Feature_91,5.787176021780197,8.006418462748126e-09,0.22433928
Feature_38,5.787171490011476,8.006631664392184e-09,0.22433913
Feature_43,5.787163417647553,8.007011450601381e-09,0.22433881
Feature_66,5.787160726859578,8.007138049899091e-09,0.22433871
Feature_6,5.787142619632993,8.007990030236588e-09,0.22433801
Feature_80,5.787131593606167,8.00850886951225e-09,0.22433761
Feature_81,5.787120061659076,8.009051550294714e-09,0.22433716
Feature_33,5.787097685541317,8.010104647914724e-09,0.22433627
Feature_52,5.7870202396616435,8.013750559419693e-09,0.22433335
Feature_87,5.78564454587851,8.078783643226736e-09,0.22428069
Feature_82,5.785585429934754,8.081589702457895e-09,0.22427839
Feature_48,5.785548952822533,8.083321636250233e-09,0.224277
Feature_16,5.785538189707092,8.083832738107739e-09,0.22427657
Feature_53,5.785537845913848,8.08384906413738e-09,0.22427657
Feature_30,5.785534001944275,8.084031608482039e-09,0.22427642
Feature_26,5.785524007623387,8.084506242546085e-09,0.224276
Feature_21,5.785497868630295,8.085747721352163e-09,0.22427502
Feature_3,5.785490261904334,8.086109039773536e-09,0.22427475
Feature_97,5.78546804809936,8.087164282324392e-09,0.22427392
Feature_39,5.785447978244063,8.088117794086412e-09,0.22427313
Feature_57,5.785392321916784,8.090762578842409e-09,0.22427098
Feature_72,5.78538044622712,8.091327019685675e-09,0.22427054
Feature_7,5.785372373893416,8.091710712312283e-09,0.22427022
Feature_62,5.78534819750742,8.092859965579316e-09,0.22426932
Feature_92,5.7853217147435325,8.094119037504661e-09,0.22426829
Feature_44,5.785263023894232,8.096910059911516e-09,0.22426605
Feature_34,5.785237997485128,8.098100466589975e-09,0.22426507
Feature_12,5.785235347329758,8.098226533902722e-09,0.22426498
Feature_67,5.785213902359332,8.099246736703704e-09,0.22426417
Feature_77,5.78518895719963,8.10043361152119e-09,0.22426322
Feature_93,5.784691895304302,8.124118808155392e-09,0.22424422
Feature_63,5.7846596466758715,8.125657793270078e-09,0.22424297
Feature_88,5.784566360379121,8.130111245441635e-09,0.2242394
Feature_58,5.784546453105528,8.131061918463374e-09,0.22423863
Feature_98,5.784532271113554,8.13173924628839e-09,0.2242381
Feature_78,5.7845149326243375,8.13256740208221e-09,0.22423743
Feature_83,5.784513395039888,8.132640847243786e-09,0.22423735
Feature_68,5.784394738658355,8.138310604352187e-09,0.22423282
Feature_73,5.784347195574695,8.14058343410989e-09,0.22423099
Feature_1,5.78429692105852,8.142987513617113e-09,0.22422907
Feature_8,5.784295383474803,8.143061050290728e-09,0.22422901
Feature_19,5.784290427006411,8.143298103374147e-09,0.22422883
Feature_40,5.784278592092151,8.143864159138412e-09,0.2242284
Feature_49,5.784265907028743,8.144470919450904e-09,0.22422788
Feature_35,5.784245837081255,8.1454310082437e-09,0.2242271
Feature_24,5.78423169579713,8.146107552885295e-09,0.22422658
